#{"t_start": 1775187436.8245802, "env_id": "OpenTheChests-v2"}
r,l,t
-33.0,516,546.516788
-30.0,515,547.082734
-33.0,516,550.730962
-30.0,514,551.296032
-30.0,514,551.862415
-30.0,514,552.431667
-32.0,515,556.144372
-31.0,516,556.71678
-30.0,517,557.289413
-30.0,518,557.862672
-30.0,516,561.615439
-35.0,517,562.184009
-30.0,515,562.748732
-32.0,518,563.319222
-30.0,514,566.90039
-30.0,515,567.469649
-30.0,519,568.045562
-30.0,516,568.617489
-30.0,516,572.348241
-32.0,517,572.920721
-32.0,514,573.486153
-32.0,518,574.056074
-30.0,515,577.954667
-30.0,517,578.522002
-30.0,514,579.090934
-30.0,517,579.662973
-30.0,517,583.403908
-30.0,513,583.972961
-30.0,518,584.547012
-30.0,512,585.109525
-30.0,516,588.862441
-32.0,514,589.426467
-25.0,404,589.869815
-30.0,517,590.439933
-36.0,515,594.197619
-30.0,515,594.768016
-30.0,513,595.336625
-30.0,513,595.905619
-30.0,516,599.642413
-30.0,513,600.209642
-30.0,513,600.775034
-30.0,516,601.350492
-30.0,518,604.986928
-34.0,515,605.555102
-33.0,518,606.140176
-30.0,538,606.735602
-30.0,533,610.503937
-32.0,515,611.074925
-32.0,514,611.643678
-32.0,517,612.214138
-30.0,516,615.853399
-32.0,513,616.416614
-32.0,516,616.983994
-32.0,517,617.55655
-30.0,515,621.231868
-30.0,515,621.80184
-32.0,517,622.374223
-34.0,518,622.948374
-30.0,514,626.731622
-32.0,521,627.306573
-30.0,514,627.872138
-32.0,515,628.438605
-30.0,512,632.090318
-30.0,516,632.660156
-32.0,520,633.236336
-30.0,514,633.806491
-32.0,543,637.543039
-30.0,515,638.114381
-30.0,514,638.680693
-32.0,515,639.245859
-30.0,515,643.104853
-30.0,514,643.671432
-30.0,532,644.2623
-30.0,537,644.857973
-34.0,513,648.559101
-38.0,516,649.130075
-41.0,516,649.701776
-35.0,516,650.272166
-34.0,516,654.034615
-30.0,516,654.601464
-30.0,513,655.163635
-32.0,514,655.730046
-30.0,518,659.622477
-32.0,519,660.198062
-30.0,515,660.768996
-30.0,515,661.340447
-30.0,513,665.126696
-30.0,515,665.697649
-30.0,513,666.26139
-30.0,516,666.82907
-32.0,513,670.60536
-34.0,514,671.173293
-32.0,520,671.749123
-30.0,515,672.320446
-35.0,514,676.063152
-34.0,517,676.635934
-30.0,514,677.203311
-30.0,515,677.770323
-125.0,520,681.516701
-115.0,517,682.085056
-100.0,518,682.658667
-100.0,522,683.238205
-32.0,517,687.033466
-40.0,517,687.606523
-40.0,521,688.185502
-34.0,520,691.625489
-34.0,517,692.196377
-32.0,516,692.763975
-34.0,525,693.34119
-42.0,515,697.039863
-52.0,518,697.608749
-50.0,515,698.178215
-48.0,515,698.748219
-48.0,515,702.461432
-30.0,514,703.030483
-32.0,515,703.600562
-30.0,517,704.172148
-30.0,516,707.914053
-30.0,517,708.480729
-14.0,276,708.784951
-32.0,518,709.353728
-30.0,518,709.926722
-30.0,516,714.004468
-32.0,541,714.6035
-30.0,524,715.185153
-30.0,519,715.756338
-46.0,524,719.505556
-49.0,517,720.074185
-47.0,525,720.651959
-42.0,529,721.237872
-30.0,516,724.989812
-34.0,517,725.560377
-32.0,516,726.148674
-30.0,516,726.719356
-79.0,520,730.469983
-89.0,513,731.037042
-94.0,514,731.62015
-90.0,519,732.190751
-83.0,517,735.944932
-80.0,516,736.515665
-82.0,519,737.090092
-15.0,161,737.269976
-58.0,517,741.083111
-32.0,512,741.6501
-32.0,514,742.218542
-30.0,514,742.783913
-36.0,517,746.638924
-30.0,520,747.210464
-30.0,533,747.797021
-30.0,526,748.380076
-30.0,527,752.115042
-30.0,518,752.688102
-30.0,515,753.257936
-30.0,514,753.827923
-30.0,514,757.521836
-30.0,515,758.090491
-30.0,514,758.655415
-32.0,530,759.237805
-30.0,514,763.036978
-30.0,516,763.605606
-32.0,516,764.178086
-35.0,518,764.752048
-45.0,534,768.474363
-83.0,516,769.045962
-100.0,517,769.618756
-81.0,512,770.181326
-33.0,514,773.789772
-34.0,516,774.357429
-32.0,516,774.92403
-32.0,518,775.497157
-32.0,513,779.28997
-34.0,532,779.878197
-33.0,515,780.447698
-30.0,513,781.015437
-31.0,516,784.828284
-30.0,515,785.396796
-30.0,516,785.964462
-30.0,522,786.543683
-30.0,518,790.361061
-30.0,515,790.933217
-30.0,516,791.507246
-30.0,516,792.081757
-32.0,518,795.806799
-32.0,513,796.375441
-34.0,518,796.946805
-30.0,515,797.515332
-30.0,515,801.302309
-30.0,513,801.865472
-30.0,530,802.450351
-30.0,518,803.025059
-170.0,522,806.892059
-150.0,525,807.474441
-186.0,518,808.049358
-233.0,513,808.617792
-130.0,493,812.33895
-176.0,518,812.9104
-157.0,519,813.482553
-139.0,522,814.059449
-74.0,530,817.769106
-97.0,514,818.336951
-48.0,338,818.712393
-114.0,518,819.285572
-76.0,515,822.987248
-61.0,514,823.55679
-36.0,525,824.140438
-65.0,513,824.709652
-32.0,517,828.404886
-30.0,517,828.971881
-30.0,518,829.538768
-32.0,521,830.109439
-34.0,515,833.849157
-32.0,513,834.409996
-32.0,538,834.999803
-30.0,515,835.563979
-33.0,515,839.310623
-34.0,517,839.876743
-33.0,527,840.454541
-30.0,513,841.015952
-30.0,537,844.732965
-30.0,513,845.29518
-30.0,520,845.878716
-30.0,514,846.440373
-37.0,516,850.327375
-39.0,516,850.891223
-41.0,530,851.502963
-36.0,516,852.065403
-42.0,514,855.736303
-42.0,513,856.29713
-40.0,519,856.865357
-40.0,514,857.427986
-48.0,522,860.976372
-41.0,513,861.537646
-49.0,509,862.095023
-48.0,534,865.499775
-40.0,515,866.064483
-50.0,517,866.630838
-58.0,520,867.201448
-50.0,512,870.860273
-45.0,522,871.432001
-51.0,518,871.998455
-34.0,516,872.56259
-37.0,515,876.179675
-34.0,518,876.747136
-37.0,515,877.310538
-36.0,513,877.872198
-40.0,520,881.693464
-30.0,515,882.257046
-33.0,515,882.820551
-32.0,517,883.386779
-30.0,514,886.973932
-30.0,514,887.536226
-30.0,514,888.098034
-30.0,518,888.664918
-32.0,514,892.325557
-57.0,515,892.888811
-47.0,515,893.452863
-43.0,514,894.015503
-42.0,515,897.545274
-30.0,517,898.110064
-30.0,517,898.675482
-31.0,518,899.241458
-33.0,514,902.936208
-34.0,516,903.499487
-30.0,514,904.060745
-32.0,515,904.622952
-32.0,513,908.381572
-51.0,514,908.945757
-55.0,517,909.512903
-54.0,513,910.075248
-47.0,538,913.856501
-48.0,516,914.448146
-57.0,522,915.040201
-49.0,514,915.602558
-56.0,514,919.269356
-57.0,515,919.832995
-45.0,514,920.397117
-52.0,515,920.960324
-54.0,516,924.702051
-38.0,515,925.265088
-46.0,514,925.844523
-40.0,514,926.406295
-50.0,516,930.17939
-38.0,517,930.744344
-35.0,515,931.307068
0.0,49,931.362308
-35.0,516,931.926477
-32.0,517,935.872456
-35.0,519,936.44013
-31.0,516,937.004263
-32.0,514,937.566899
-32.0,515,941.236539
-32.0,526,941.812336
-30.0,513,942.373512
-30.0,519,942.942002
-32.0,515,946.667178
-32.0,513,947.228398
-32.0,515,947.792681
-30.0,515,948.357038
-30.0,516,952.08855
-38.0,515,952.652912
-39.0,515,953.217244
-42.0,515,953.78113
-37.0,515,957.413881
-33.0,519,957.981498
-34.0,518,958.548241
-33.0,516,959.112099
-30.0,527,962.770684
-30.0,519,963.337359
-31.0,531,963.917562
-32.0,517,964.483403
-32.0,514,968.174046
-30.0,515,968.739016
-30.0,514,969.301934
-31.0,512,969.863079
-30.0,515,973.444357
-30.0,517,974.013639
-30.0,516,974.584744
-30.0,514,975.155011
-30.0,514,978.67171
-30.0,516,979.236558
